Name,Link,Difficulty,Solution,Session,Contributor
Beat the Spread,https://open.kattis.com/problems/beatspread,easy,beatspread.cpp,1,Bryon
Closest Sums,https://open.kattis.com/problems/closestsums,easy,closestsums.cpp,1,Bryon
ACM Contest Scoring,https://open.kattis.com/problems/acm,med,acm.cpp,1,Bryon
Exact Change,https://open.kattis.com/problems/exactchange2,med,exactchange2.cpp,1,Bryon
God Save the ith-Queen,https://open.kattis.com/problems/ith,hard,ith.cpp,1,Bryon
Competition,These are the questions/solutions for Internal Series Competition 1,announcement,,1,Bryon
Internal Competition 1,https://open.kattis.com/contests/quzbxw,event,,2,Bryon
