Name,Link,Difficulty,Solution,Session,Contributor,Note
Arithmetic,https://open.kattis.com/problems/arithmetic,easy,arithmetic.py,1,Bryon,
Code Cleanups,https://open.kattis.com/problems/codecleanups,easy,codecleanups.cpp,1,Bryon,
Bing It On,https://open.kattis.com/problems/bing,med,bing.cpp,1,Bryon,
The Trip,https://open.kattis.com/problems/trip,med,trip.cpp,1,Bryon,
Collecting Beepers,https://open.kattis.com/problems/beepers,hard,beepers.cpp,1,Bryon,
Competition,These are the questions/solutions for Internal Series Competition 2,announcement,,1,Bryon,
Internal Series Competition 2 (LINK),https://open.kattis.com/,event,,1,Bryon,
Machine learning: Do we really understand it?,http://localhost:3001/#/events,event,,1,Jens,
