Name,Link,Difficulty,Solution,Session,Contributor
Lowest Common Ancestor,https://www.hackerrank.com/challenges/binary-search-tree-lowest-common-ancestor/problem?h_l=interview&playlist_slugs%5B%5D=interview-preparation-kit&playlist_slugs%5B%5D=trees,easy,,1,
Trees,https://www.hackerrank.com/challenges/ctci-is-binary-search-tree/problem?h_l=interview&playlist_slugs%5B%5D=interview-preparation-kit&playlist_slugs%5B%5D=trees,med,,1,
Roads and Libraries,https://www.hackerrank.com/challenges/torque-and-development/problem,med,,1,
Kruskal MST,https://www.hackerrank.com/challenges/kruskalmstrsub/problem,med,kruskalmstrsub.py,1,Chinmay
Rust & Murderer,https://www.hackerrank.com/challenges/rust-murderer/problem,med,rust_murder.py,1,Chinmay
Bertown Subway,http://codeforces.com/problemset/problem/884/C,med,884C.py,2,Jacky
Lost Map,https://open.kattis.com/problems/lostmap,med,,2,
Peculiar Apple-Tree,https://codeforces.com/problemset/problem/930/A,med,931D.py,2,Jacky
Police Stations,https://codeforces.com/problemset/problem/796/D,hard,,2,Junlin
Note,First two problems on trees. Next three problems on graphs. Come and ask questions on how to implement graph and some algorithms for it.,announcement,,1,
