Name,Link,Difficulty,Solution,Session,Contributor
Atlantis,https://open.kattis.com/problems/atlantis,icpc,,1,Karthik
Lost Map,https://open.kattis.com/problems/lostmap,icpc,,1,Karthik
Pokemon Go Go,https://open.kattis.com/problems/pokemongogo,icpc,,1,Karthik
Racing Around the Alphabet,https://open.kattis.com/problems/racingalphabet,icpc,,1,Karthik
Smooth Array,https://open.kattis.com/problems/smootharray,icpc,,1,Karthik
Stoichiometry,https://open.kattis.com/problems/stoichiometry,icpc,,1,Karthik
Urban Design,https://open.kattis.com/problems/urbandesign,icpc,,1,Karthik
Zebras and Ocelots,https://open.kattis.com/problems/zebrasocelots,icpc,,1,Karthik
