Name,Link,Difficulty,Solution,Session
House Robber,https://leetcode.com/problems/house-robber/description/,easy,ASK Tim,1
Party Game,https://open.kattis.com/problems/partygame,med,partygame.cpp,1
Fractions Again?!,https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=640&page=show_problem&problem=1917,easy,10976.cpp,1
2-SAT (Ask Karthik),ASK Karthik,hard,ASK Karthik,1
Profitable Schemes,https://leetcode.com/problems/profitable-schemes/,hard,ASK ACM,2
Longest Mountain in Array,https://leetcode.com/problems/longest-mountain-in-array/,med,ASK ACM,2
Bertown Subway,https://codeforces.com/problemset/problem/884/C,med,884C.py,2
Packmen,https://codeforces.com/problemset/problem/847/E,med,cf_packman.py,2
