Name,Link,Difficulty,Solution,Session,Contributor,Note
MOVIE NIGHT,https://www.facebook.com/events/288178678473859/,event,,1,,
HOLIDAY BASH,https://www.facebook.com/events/276047016386197/,event,,2,,
